Dysfunction	Exclusion
BIN1	1.52233177572	-0.000181564447831
PACSIN3	-0.509125784463	1.69273642135
RND3	0.564900808712	2.03330479477
ARHGDIB	1.42741112637	-2.1474082159
FJX1	0.618565289808	1.58533700718
LMCD1	0.158650318404	1.6890789173
ADAM12	0.285938206608	1.49719613268
JCHAIN	1.2932931869	-1.84608534002
RAB3IL1	-0.0294012440368	1.86448517605
DEPDC1B	-0.907645647138	1.88455003869
GFPT2	0.342612127778	2.52590498251
CD2	1.99732448575	-0.596687817084
CD3E	2.12390831983	-1.06597530741
TMEM45A	-0.946930124851	2.62095617663
BMF	1.72200759106	-0.245669159283
UBR5	-1.73781165733	0.228595158545
LGALS2	1.10465564782	-2.36389166159
LGALS1	-0.254063616347	2.95786701139
BCL2A1	-0.171684309009	-2.28767903471
BCL2L1	1.97714039313	-0.374509842052
PRKCB	1.16723439756	-1.87815604534
MPEG1	1.50582364482	-0.619348307206
COX7A1	-0.0350035059296	1.74955320318
INHBB	1.61788629842	-0.514555873238
INHBA	0.555492118369	2.99983229092
CXCL10	0.561531539116	-2.31361785429
SOSTDC1	-1.63264347225	0.233629722022
ANGPTL2	0.22334916242	2.68841407572
GLIS2	0.973638853379	1.9719852154
TJP1	0.405286111238	1.5286661193
TMEM14A	-1.6228339563	1.91904875453
YAP1	-1.10702528425	2.63859431347
LIMA1	0.0078300837282	2.89047288455
CLMP	1.28394912291	2.17447716752
EPS8	-0.886396181583	2.10371847142
CCL13	0.797507981611	3.43095145199
CCL5	2.01881609751	-3.11258493503
P2RY8	2.3265636862	-1.02669659098
CCL4	1.63332714474	-1.57269254909
JAM3	-0.0337510548368	1.86125655147
ADGRG1	-0.062635677108	-1.93755748988
DHRS2	1.09698624976	3.22323864573
GALNT18	0.615307419305	3.5119049747
KCNS3	-0.122731881159	2.08836258245
AIF1L	-1.71851006052	0.0139413343704
UBE2C	-0.930841825177	1.60751350432
SERTAD4	-0.65618925968	1.5125630115
CD248	0.843509341705	1.64043176746
LPAR5	2.12933840401	0.590886849057
EPHB6	1.60748988227	-0.332851195629
GXYLT2	-0.676776502893	2.27103376101
SYT17	1.4278847734	1.72508703875
PTGIS	0.282519793271	1.64240065147
GIMAP8	1.27774426304	-2.04731581416
EDNRB	-0.246812487999	2.59177251924
CNN3	-0.495687387638	3.6738873649
PTRF	0.973590886713	3.88414211597
ARHGEF17	0.228822984914	2.00564678162
SIRPG	1.71232395471	-0.341060790568
GBE1	-1.61890950497	0.0782677667378
AKAP12	-0.425369688176	3.60133301683
IER2	0.0542079377194	1.57769418229
BAMBI	0.487055501753	1.88841212825
SMO	-1.67657404829	2.02233829045
TRIM69	1.15975577814	-1.62275090366
CARD11	1.86063934979	0.137989320125
HACD1	-1.89029909746	0.464758724082
PLPP4	0.626728262103	1.7830171704
JAG2	0.508570514547	-1.53871289114
CYBRD1	-0.338318783418	3.50270438893
P2RY13	2.16367417957	-0.541352733062
FAM43A	2.0289344769	0.486479844054
CHPT1	-1.57557299645	0.909331752786
SH2D3C	2.14054978835	-0.545940547151
PLCB2	2.10513790619	0.318802910209
APOD	0.365842952664	2.32868541662
CD84	1.75657965395	-1.49598594735
NT5C3B	-0.196148955197	1.84858116411
